split,official_split,label,label_index,relative_path,image_path
test,test,apple_pie,0,apple_pie/1011328.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1011328.jpg
test,test,apple_pie,0,apple_pie/101251.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/101251.jpg
test,test,apple_pie,0,apple_pie/1034399.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1034399.jpg
test,test,apple_pie,0,apple_pie/103801.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/103801.jpg
test,test,apple_pie,0,apple_pie/1038694.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1038694.jpg
test,test,apple_pie,0,apple_pie/1047447.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1047447.jpg
test,test,apple_pie,0,apple_pie/1068632.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1068632.jpg
test,test,apple_pie,0,apple_pie/110043.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/110043.jpg
test,test,apple_pie,0,apple_pie/1106961.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1106961.jpg
test,test,apple_pie,0,apple_pie/1113017.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1113017.jpg
test,test,apple_pie,0,apple_pie/116705.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/116705.jpg
test,test,apple_pie,0,apple_pie/1167170.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1167170.jpg
test,test,apple_pie,0,apple_pie/1174330.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1174330.jpg
test,test,apple_pie,0,apple_pie/1180600.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1180600.jpg
test,test,apple_pie,0,apple_pie/1235282.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1235282.jpg
test,test,apple_pie,0,apple_pie/1269202.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1269202.jpg
test,test,apple_pie,0,apple_pie/1272958.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1272958.jpg
test,test,apple_pie,0,apple_pie/1284428.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1284428.jpg
test,test,apple_pie,0,apple_pie/1295996.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1295996.jpg
test,test,apple_pie,0,apple_pie/129668.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/129668.jpg
test,test,apple_pie,0,apple_pie/1321400.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1321400.jpg
test,test,apple_pie,0,apple_pie/1327259.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1327259.jpg
test,test,apple_pie,0,apple_pie/1332030.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1332030.jpg
test,test,apple_pie,0,apple_pie/1364847.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1364847.jpg
test,test,apple_pie,0,apple_pie/1375404.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1375404.jpg
test,test,apple_pie,0,apple_pie/1398774.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1398774.jpg
test,test,apple_pie,0,apple_pie/1420999.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1420999.jpg
test,test,apple_pie,0,apple_pie/1429866.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1429866.jpg
test,test,apple_pie,0,apple_pie/1444702.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1444702.jpg
test,test,apple_pie,0,apple_pie/1461580.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1461580.jpg
test,test,apple_pie,0,apple_pie/1469191.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1469191.jpg
test,test,apple_pie,0,apple_pie/1472631.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1472631.jpg
test,test,apple_pie,0,apple_pie/1510125.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1510125.jpg
test,test,apple_pie,0,apple_pie/1510930.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1510930.jpg
test,test,apple_pie,0,apple_pie/1514110.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1514110.jpg
test,test,apple_pie,0,apple_pie/1526484.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1526484.jpg
test,test,apple_pie,0,apple_pie/1578710.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1578710.jpg
test,test,apple_pie,0,apple_pie/1579622.jpg,/Users/alex/Documents/IA_aero_upm/food101-cnn/data/raw/food-101/images/apple_pie/1579622.jpg
